,id,payment score
100,7607c438376daf39f83b0b8b781477590b0d31da93a9a41d3b8ad95867b4253c,20.93
101,670b273674898feaef1daac399bd8b14022ebf9072bee6233862cec561858ce1,34.217
102,f9ce80583c6fcad005651e623de63c37d0de908d3914ca0a518060848f964168,730.157
103,79969bc8c8ac34d1127a3706a49ba2e25383376d2145f1658c386cdb8e4e5a8c,220.602
104,b18920813997b78a0d0041599e7a9ae158c763afabd8befe4f4efe4dfef8c9ce,99.116
105,5cbbb8602d0337e38fd375a9d3457836b383860fa972295386a2696de96a9e8d,344.88
106,9f23109d0436c3a946000d4c6c29ccd0a1ba1e73d1ff0e5c1f87783b4cd26c05,254.995
107,f6b76c80255f2610257b47756deb691a6d671a570290e898c6ec967dc0f1771e,372.307
108,d51c83e86ad4fbba3560c36511b6d056ee304af8d1e6803033d0b6f6fc4f67a1,192.794
109,b2dddfc2fce32f09bdd5f63de2ed6ce5ec9080ff6a3e664c5f9d8a213e23bea8,64.465
110,30633c1e4f5a89db4dde0724015209e1c1f546b411739413340fe0e6feb4c849,443.375
111,1c9e251f11da652da53da3255bb408def689afe64557adac1998bfba0c541dbe,15.684
112,c9471b7d1f1763c30cf48c63c320a0efbc98294adf915194f3e4fe53e9211d5f,31.408
113,004ef095cf44493f171883c13e0be387cd09bbabf8c9c34231d3a8c702f669d7,16.51
114,7a4dfdd67142884cd8175ec69ef99a21a93f65973e15c66392b3ef0c2fcc51f5,694.7558333333333
115,3179eca40195e0fee541a09a518cb8bcc6c8576b75c6da2c9d9ed59497d1d69f,597.046957142857
116,270e24e4c1e9ce9fbdc5a26c889e45a536e227479b2cb349d6482fa3649abeee,115.55
117,9143a6e64cb5b0d1b0332fa0e85f04f02682e051918fcd73fdf875df9da5d2dd,207.237
118,38d8f467fe6aab26d5e69950403990e6738883e0417c1112bb7e32398d65bd7f,480.765
119,6cc42e59dfa2b6e555c9b8f616aff540c5a12bd0fefd5415c72cf3d6312ffc8a,430.736
120,bdf62c8a60ceedff9dc74193ac0c84647c1ad79e96515070e355198b96759d17,61.593
121,d891ccce06cd8ba269dcc6036174144203561df38c4861014f2ce24ff4baf224,149.24
122,4965aedb9c42fc9007567ee75f1923e5ab283eac406a703111c7a4e1b8f2dbb8,72.337
123,a5b0e8adfe274e187009e03b9e958f158126c69fe81c753d9ea903064e5df6c7,116.091
124,d406bc926eb7264b5f666fc7afbb74e67c494136cfe2c4463c328b3376f4d2c8,278.448
125,e3c05227a1598c0729ab53e911f9e26a4ffbc6125f7f03fde1fb5d5f3b6b1486,114.921
126,0315cf97f13307d3ec002f7878c40a682b90219be8870d8fcc091b132db8a344,553.9411666666666
127,487d4db85088388bcfd20c16e74f8f301d8c15d4c96f9497041e9869356438ca,327.4443333333334
128,d3eeefd1a14784f72caa4b287118cb38d4cc8ca8e5aa71a4f911c881fa3ab84d,101.99
129,cb8c0287ee0ed1a6c06c8c905155944a0f5ef5551af6c25824378382ead605ec,352.55075
130,8484bebde0f637507974c8fbb1d7fc1b96e401fca840863740bf83044724820b,32.824
131,a2a43fbd6765832ce01f6cca59d52ab5cb43aa0731644d1949d69bda1502fde8,19.076
132,4e10b1c78e11c356212f9df8037b69c079d6ff4186181f02250bf28e8a308ca8,512.32
133,05c05a8affbc14b670c82ccecc0c6b8148265bf684defe37a1a5ff61068904c2,668.597
134,ae80774c995187dd21f479119d747d14c6e4cf5f7383f2b080376df268b80227,40.011
135,fc6c45515fa827f1840038e00ecf06b12799f19784349f0da749d97770168495,319.172
